"name","net_income","aquire_cost","rounded_rating","longevity_months"
"ASOS","1.109 million dollars","$25,000.00","4.75",126
"Cytus","1.109 million dollars","$25,000.00","4.75",126
"Domino's Pizza USA","1.109 million dollars","$25,000.00","4.75",126
"Egg, Inc.","1.109 million dollars","$25,000.00","4.75",126
"PewDiePie's Tuber Simulator","1.109 million dollars","$25,000.00","4.75",126
"The Guardian","1.109 million dollars","$25,000.00","4.75",126
"The EO Bar","1.064 million dollars","$69,900.00","4.75",126
"Adobe Illustrator Draw","1.055 million dollars","$25,000.00","4.50",120
"AJ Jump: Animal Jam Kangaroos!","1.055 million dollars","$25,000.00","4.50",120
"Angry Birds Blast","1.055 million dollars","$25,000.00","4.50",120
